"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889","823",,"7","3",,"5.5","3.65","91","5431","58.20","21.1","52.8","59.6","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890","860",,,"7",,,"1.87","98","5090","45.68",,"53.0","59.9","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891","1103",,,"9",,,"1.91","98","5470","39.45",,"54.1","61.1","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892","992",,,"9",,,"2.43","97","5249","35.46",,"52.2","59.0","45.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893","780",,,"1",,,"3.61","95","6070","48.28",,"50.7","57.6","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894","916",,,"1",,,"4.30","96","5303","40.45",,"52.9","59.6","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895","1222",,,"-4",,,"1.95","97","5657","35.39",,"53.0","60.3","45.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896","1209",,,"-5",,,"2.74","98","5315","41.98",,"53.6","60.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897","924",,,"6",,,"2.29","93","5100","44.56",,"53.6","60.3","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898","1173",,,"8",,,"3.07","100","4759","47.94",,"55.1","61.3","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899","1176",,,"-6",,,"2.29","95","5241","38.60",,"53.9","60.6","47.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900","1250",,,"5",,,"2.02","97","5281","41.21",,"54.2","61.2","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1901","1122",,,"8",,,"3.07","100","5172","47.94",,"52.4","58.7","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1902","712",,,"8",,,"3.06","90","5274","52.79",,"53.0","59.3","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1903","744",,,"4",,,"7.33","95","4736","58.54",,"53.0","59.4","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1904","953",,,"-4",,,"3.63","94","5975","41.66",,"50.9","57.6","44.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1905","1147",,,"4",,,"2.47","96","5762","37.47",,"53.4","59.9","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1906","1336",,,"8",,,"2.62","94","4858","40.21",,"55.0","61.4","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1907","1045",,,"4",,,"2.34","92","5394","46.75",,"52.9","59.3","46.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1908","1342",,,"1",,,"3.82","96","5128","41.07",,"55.0","61.2","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1909","900",,,"5",,,"4.80","93","4801","41.70",,"53.7","59.8","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1910","1015",,,"1",,,"2.60","94","4989","33.74",,"53.5","59.6","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1911","1055",,,"13",,,"3.76","100","5397","48.84",,"53.4","60.2","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1912","905",,,"-3",,,"2.97","97","5598","45.59",,"52.7","60.3","45.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1913","911","3","1","11","2","1.6","4.98","95","4493","58.04","3.5","54.9","62.7","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1914","916","32","9","-5","13","13.5","2.95","95","5322","40.08","42.9","51.9","59.7","44.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1915","855","19","8","12","9","10.0","3.25","94","5162","45.76","34.4","53.4","60.9","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1916","886","53","14","2","12","12.7","2.66","95","5555","37.93","57.2","52.2","59.6","44.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1917","907","43","15","-13","8","8.0","2.54","100","5518","41.07","50.6","50.7","58.1","43.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1918","912","39","7","-6","6","5.9","2.00","104","5893","38.30","20.4","53.1","60.9","45.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1919","914","13","6","-1","2","2.7","2.72","99","4693","53.33","12.4","53.8","61.1","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1920","886","60","12","-2","12","5.9","2.21","94","5803","53.24","40.6","52.2","60.6","43.9"
